Tarih,Uretilen_Adet,Toplam_Rota_Suresi,Uretim_Net_Kg,Uretim_Brut_Kg,Pik_Adet,Sfr_Adet,Adi_Adet,Tipi_Bos_Adet,Kontrol,Pik_Yuzde,Sfr_Yuzde,Pik_Net_Kg,Sfr_Net_Kg,Adi_Net_Kg,Tipi_Bos_Net_Kg,Kontrol_Kg,Pik_Kg_Yuzde,Sfr_Kg_Yuzde,Enerji_kWh
2024-04-05,544,11552.6,5620.58,5620.77,241,123,144,36,0,0.443015,0.226103,2481.63,1755.34,1280.01,103.61,0,0.441525,0.312305,2878.09
2024-04-06,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1510.23
2024-04-07,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1544.96
2024-04-08,1102,17141.8,13895.3,13895.3,678,377,28,19,0,0.615245,0.342105,7134.14,6528.66,184.29,48.21,0,0.513421,0.469846,5011.88
2024-04-09,674,16983.6,8276.54,8281.31,395,193,75,11,0,0.586053,0.28635,4288.22,3170.82,792.01,25.49,0,0.518118,0.38311,4759.43
2024-04-10,345,15768.26,4079.42,4083.73,158,112,49,26,0,0.457971,0.324638,1777.39,1732.81,502.81,66.4,0,0.435697,0.42477,4125.01
2024-04-11,671,13879.94,8830.6,8830.83,407,223,36,5,0,0.606557,0.33234,4661.39,3830.8,331.9,6.52,0,0.527867,0.433809,4023.96
2024-04-12,1340,15928.19,13991.79,13993.26,584,379,257,120,0,0.435821,0.282836,5343.76,5576.5,2955.78,115.75,0,0.381921,0.398555,5132.43
2024-04-13,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1610.45
2024-04-14,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1618.92
2024-04-15,194,10066.91,2460.49,2461.71,84,65,32,13,0,0.43299,0.335052,899.81,1219.84,311.56,29.28,0,0.365703,0.49577,2778.13
2024-04-16,742,11292.48,8182.23,8182.9,297,258,132,55,0,0.40027,0.347709,3353.52,3811.74,912.64,104.33,0,0.409854,0.465856,3406.48
2024-04-17,1155,18111.68,13386.9,13388.79,629,334,150,42,0,0.544589,0.289177,6738.83,5031.18,1510.28,106.6,0,0.50339,0.375829,5201.65
2024-04-18,985,22563.02,12114.15,12116.45,509,294,130,52,0,0.516751,0.298477,5513.32,5418.73,1094.45,87.64,0,0.455114,0.447306,6006.98
2024-04-19,759,14911.87,8601.19,8602.33,360,198,155,46,0,0.474308,0.26087,3405.1,3564.98,1539.63,91.48,0,0.395887,0.414475,4344.47
2024-04-20,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1252.08
2024-04-21,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1366.21
2024-04-22,686,16232.03,7894.02,7894.02,295,166,195,30,0,0.430029,0.241983,2953.72,2863.91,1990.63,85.76,0,0.374172,0.362795,4379.26
2024-04-23,1183,13423.5,15615.17,15617.2,577,358,150,98,0,0.487743,0.30262,7717.69,6322.77,1299.55,275.17,0,0.494243,0.404912,4568.55
2024-04-24,814,17639.45,11302.91,11303.24,385,192,227,10,0,0.472973,0.235872,5088.4,3814.89,2376.68,22.94,0,0.450185,0.337514,4817.02
2024-04-25,830,14337.31,9938.47,9938.47,384,198,206,42,0,0.462651,0.238554,3876.2,3741.47,2299.66,21.13,0,0.39002,0.376464,4209.21
2024-04-26,753,7237.09,7807.32,7807.32,429,163,120,41,0,0.569721,0.216467,4274.11,2432.58,1024.42,76.22,0,0.547449,0.311576,2765.07
2024-04-27,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1627.87
2024-04-28,0,0.0,0.0,0.19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1569.87
2024-04-29,304,10898.77,3749.08,3752.76,177,68,44,15,0,0.582237,0.223684,2036.18,1231.95,436.31,44.64,0,0.543114,0.328601,3075.37
2024-04-30,1202,18499.37,14590.85,14594.76,602,316,175,109,0,0.500832,0.262895,6481.55,5917.03,1923.73,268.54,0,0.44422,0.40553,5692.98
2024-05-01,388,19411.67,4148.51,4148.52,231,85,67,5,0,0.595361,0.219072,2256.32,1462.26,429.14,0.79,0,0.543887,0.352478,4521.8
2024-05-02,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1868.84
2024-05-03,697,11450.41,8083.65,8083.76,410,225,49,13,0,0.588235,0.322812,3880.15,3682.55,510.91,10.04,0,0.48,0.455555,3488.71
2024-05-04,0,0.0,0.0,5.16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1132.47
2024-05-05,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1452.23
2024-05-06,1014,20479.94,11102.45,11104.54,424,229,240,121,0,0.418146,0.225838,4660.83,4566.79,1637.58,237.23,0,0.419802,0.411332,5541.82
2024-05-07,5,11790.38,54.54,59.94,2,1,1,1,0,0.4,0.2,25.35,17.4,9.31,2.49,0,0.464773,0.319023,2669.85
2024-05-08,131,5646.51,1510.6,1510.6,59,34,33,5,0,0.450382,0.259542,696.56,554.62,251.6,7.83,0,0.461114,0.367148,1660.57
2024-05-09,776,17882.23,10367.64,10369.89,346,259,145,26,0,0.445876,0.333763,4654.16,4356.31,1284.2,72.97,0,0.448912,0.420184,5264.28
2024-05-10,464,11826.27,4754.63,4754.63,207,99,107,51,0,0.446121,0.213362,2045.3,1466.01,1194.3,49.02,0,0.430171,0.308332,3501.41
2024-05-11,0,0.0,0.0,0.89,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1709.62
2024-05-12,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1516.53
2024-05-13,5,7274.78,57.55,59.89,2,1,1,1,0,0.4,0.2,26.52,18.53,10.92,1.58,0,0.460911,0.321925,1907.0
2024-05-14,583,9068.21,7432.27,7433.25,307,187,59,30,0,0.526587,0.320755,3528.41,3171.9,697.69,34.27,0,0.474742,0.426774,2890.7
2024-05-15,990,23556.21,12139.92,12139.92,418,326,204,42,0,0.422222,0.329293,4616.12,5408.05,1998.97,116.77,0,0.380243,0.445477,5970.57
2024-05-16,1295,13220.77,14660.01,14663.01,649,386,212,48,0,0.501158,0.298069,6962.9,6280.82,1392.38,23.91,0,0.474958,0.428432,4615.6
2024-05-17,763,18028.7,9730.0,9731.12,348,247,162,6,0,0.456094,0.323722,4295.97,3535.92,1891.05,7.06,0,0.441518,0.363404,4809.66
2024-05-18,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1841.61
2024-05-19,0,0.0,0.0,1.09,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1510.75
2024-05-20,41,14304.64,474.74,475.25,20,11,5,5,0,0.487805,0.268293,213.07,212.0,41.19,8.48,0,0.448819,0.446559,3184.25
2024-05-21,867,9611.67,12376.8,12378.64,530,298,35,4,0,0.611303,0.343714,6344.82,5742.13,288.64,1.21,0,0.512638,0.463943,3471.26
2024-05-22,441,8438.5,5619.11,5624.61,217,112,84,28,0,0.492063,0.253968,2815.3,2130.95,647.34,25.52,0,0.501024,0.379232,2666.79
2024-05-23,1184,8458.16,12888.96,12888.96,516,355,234,79,0,0.435811,0.299831,4747.45,5953.48,2137.24,50.8,0,0.368334,0.461905,3277.48
2024-05-24,1078,17944.05,15097.75,15099.03,527,346,202,3,0,0.488868,0.320965,6460.15,6653.05,1980.69,3.86,0,0.427888,0.440665,5281.88
2024-05-25,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1965.77
2024-05-26,0,0.0,0.0,0.98,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1418.19
2024-05-27,742,16547.61,9397.2,9397.2,304,252,173,13,0,0.409704,0.339623,4004.76,3763.51,1593.22,35.71,0,0.426165,0.400492,4482.49
2024-05-28,190,8065.46,2124.2,2126.69,88,43,41,18,0,0.463158,0.226316,833.49,825.76,420.13,44.82,0,0.392376,0.388741,2048.49
2024-05-29,903,22330.83,11670.55,11670.55,469,254,171,9,0,0.51938,0.281285,5873.85,4292.0,1494.27,10.43,0,0.503305,0.367763,5998.46
2024-05-30,894,12630.72,10433.66,10433.66,445,303,122,24,0,0.497763,0.338926,4355.49,4616.18,1446.24,15.75,0,0.417446,0.442432,3803.57
2024-05-31,669,18006.92,7962.26,7962.26,290,140,161,78,0,0.433483,0.209268,3933.05,2411.26,1570.71,47.24,0,0.493962,0.302837,0.0
2024-06-01,0,0.0,0.0,3.78,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6373.97
2024-06-02,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1951.27
2024-06-03,1110,17649.55,13836.81,13839.57,536,350,182,42,0,0.482883,0.315315,5683.57,6271.7,1826.76,54.78,0,0.410757,0.453262,5377.03
2024-06-04,464,13759.45,5775.83,5775.83,196,127,113,28,0,0.422414,0.273707,2191.93,2536.05,1007.7,40.15,0,0.379501,0.43908,3518.9
2024-06-05,731,13355.99,8642.49,8642.49,300,253,139,39,0,0.410397,0.346101,3413.34,3633.58,1519.73,75.84,0,0.394949,0.420432,3983.0
2024-06-06,810,11546.87,9930.69,9930.69,385,242,157,26,0,0.475309,0.298765,4179.01,4005.22,1707.02,39.45,0,0.420817,0.403317,3387.39
2024-06-07,817,14126.85,9534.85,9539.96,362,240,192,23,0,0.443084,0.293758,3751.38,3519.44,2253.37,10.66,0,0.393439,0.369114,4243.76
2024-06-08,0,0.0,0.0,0.34,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1609.39
2024-06-09,0,0.0,0.0,2.33,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1404.29
2024-06-10,313,13673.61,3465.61,3466.57,135,75,73,30,0,0.43131,0.239617,1586.41,1367.26,468.63,43.3,0,0.457759,0.394523,3479.02
2024-06-11,587,13451.18,6469.21,6469.6,265,149,115,58,0,0.451448,0.253833,2904.48,2301.39,1208.73,54.61,0,0.44897,0.355745,3785.04
2024-06-12,100,19547.72,1412.5,1412.5,45,31,22,2,0,0.45,0.31,549.67,595.29,263.85,3.68,0,0.389151,0.421449,4276.1
2024-06-13,1187,18633.23,14643.82,14643.82,478,322,307,80,0,0.402696,0.271272,5659.92,5574.78,3383.04,26.08,0,0.386506,0.380692,5285.97
2024-06-14,1295,15733.7,16884.79,16886.44,771,320,154,50,0,0.595367,0.247104,9276.28,6282.51,1242.45,83.55,0,0.549387,0.372081,4819.07
2024-06-15,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1445.29
2024-06-16,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1302.34
2024-06-17,532,12448.21,6345.95,6345.95,233,171,89,39,0,0.43797,0.321429,2260.16,3089.33,968.93,27.52,0,0.356159,0.486819,3482.33
2024-06-18,240,13537.89,2889.29,2889.29,109,75,49,7,0,0.454167,0.3125,1436.14,1145.88,295.27,11.99,0,0.497058,0.396597,3538.11
2024-06-19,967,4164.65,10228.52,10228.52,405,250,279,33,0,0.418821,0.258532,4027.39,3793.24,2360.42,47.46,0,0.393742,0.37085,2250.52
2024-06-20,933,10208.05,11423.81,11423.81,455,315,112,51,0,0.487674,0.337621,5811.65,4594.82,986.65,30.69,0,0.508732,0.402214,3684.4
2024-06-21,705,14558.12,8042.95,8042.95,406,169,91,39,0,0.575887,0.239716,3928.13,3323.01,765.52,26.29,0,0.488394,0.413159,3982.72
2024-06-22,0,0.0,0.0,1.73,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1558.38
2024-06-23,0,0.0,0.0,2.29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1761.59
2024-06-24,1164,21083.65,13392.24,13393.09,682,272,129,81,0,0.585911,0.233677,7180.78,4818.07,1362.21,31.18,0,0.53619,0.359766,5609.39
2024-06-25,782,3367.28,8757.78,8761.29,403,243,125,11,0,0.515345,0.310742,3864.46,3749.5,1127.16,16.67,0,0.44126,0.428133,1933.09
